Fold,Accuracy
1,0.806609547123623
2,0.8021215830273358
3,0.8192574459404325
4,0.8108935128518971
5,0.8057935536515708
6,0.8126912874923485
7,0.8020812079167516
8,0.8077943276882269
9,0.8075902876963885
10,0.8110589675576413
